id,title,category,price,stock,created_at,updated_at,image,description
29762,Fossil Men Brown Dial Chronograph Watch CH2727,Watches,114.5,29,2025-09-09 13:52:33.477815,2025-09-09 13:52:33.477815,images/29762.jpg,A Brown item for Casual during Winter.
50327,Aurelia Women Brown Printed Kurta,Topwear,45.98,50,2025-09-09 13:52:33.477815,2025-09-09 13:52:33.477815,images/50327.jpg,A Brown item for Ethnic during Summer.
23054,Arrow Men Purple Striped T-shirt,Topwear,89.5,17,2025-09-09 13:52:33.477815,2025-09-09 13:52:33.477815,images/23054.jpg,A Purple item for Casual during Fall.
44188,iPanema Women Black Flip Flops,Flip Flops,80.46,10,2025-09-09 13:52:33.477815,2025-09-09 13:52:33.477815,images/44188.jpg,A Black item for Casual during Winter.
14444,Enroute Women Casual DK.Grey Wedges,Shoes,82.39,15,2025-09-09 13:52:33.477815,2025-09-09 13:52:33.477815,images/14444.jpg,A Grey item for Casual during Summer.
23739,Ray-Ban Women Cats 5000 Sunglasses,Eyewear,72.03,40,2025-09-09 13:52:33.477815,2025-09-09 13:52:33.477815,images/23739.jpg,A Brown item for Casual during Winter.
57132,Elle Women Multi Coloured Top,Topwear,73.36,44,2025-09-09 13:52:33.477815,2025-09-09 13:52:33.477815,images/57132.jpg,A Multi item for Casual during Summer.
20872,Franco Leone Men Formal Brown Shoes,Shoes,72.95,46,2025-09-09 13:52:33.477815,2025-09-09 13:52:33.477815,images/20872.jpg,A Brown item for Formal during Summer.
10501,Flying Machine Women RN HS White T-shirt,Topwear,83.35,16,2025-09-09 13:52:33.477815,2025-09-09 13:52:33.477815,images/10501.jpg,A White item for Casual during Fall.
13541,Carlton London Women Casual Purple Sandals,Shoes,65.85,9,2025-09-09 13:52:33.477815,2025-09-09 13:52:33.477815,images/13541.jpg,A Purple item for Casual during Fall.
53095,Fabindia Maroon & Green Earrings,Jewellery,104.11,14,2025-09-09 13:52:33.477815,2025-09-09 13:52:33.477815,images/53095.jpg,A Maroon item for Ethnic during Winter.
15065,Franco Leone Men Brown Formal Shoe,Shoes,49.53,39,2025-09-09 13:52:33.477815,2025-09-09 13:52:33.477815,images/15065.jpg,A Brown item for Formal during Summer.
39188,Catwalk Women Black Sandals,Shoes,106.16,12,2025-09-09 13:52:33.477815,2025-09-09 13:52:33.477815,images/39188.jpg,A Black item for Casual during Winter.
16927,Spykar Men Solid Charcoal Sweaters,Topwear,35.65,48,2025-09-09 13:52:33.477815,2025-09-09 13:52:33.477815,images/16927.jpg,A Charcoal item for Casual during Fall.
52311,ToniQ Women Multi Coloured Necklace,Jewellery,73.5,50,2025-09-09 13:52:33.477815,2025-09-09 13:52:33.477815,images/52311.jpg,A Multi item for Casual during Winter.
32584,ONLY Women Crepe Printed Yellow Top,Topwear,51.24,20,2025-09-09 13:52:33.477815,2025-09-09 13:52:33.477815,images/32584.jpg,A Yellow item for Casual during Summer.
51325,Wildcraft Unisex Black & Grey Checked Bishop Sling Bag,Bags,55.28,5,2025-09-09 13:52:33.477815,2025-09-09 13:52:33.477815,images/51325.jpg,A Black item for Casual during Summer.
12229,Genesis Men Stripes White Shirts,Topwear,38.88,47,2025-09-09 13:52:33.477815,2025-09-09 13:52:33.477815,images/12229.jpg,A White item for Formal during Fall.
